Unnamed: 0,Customer Name,Review Rating,Review Title,Review Content,Product Name,polarity
20,ashish,1.0 out of 5 stars,Please read before buying,hell man im oneplus fan till buy mobilecamera phone completely worse using oneplus 6 op6 camera much better compared op8and important point note phone even compete moms phone samsung a50s 15k rs phonelastly dont trust reviews thiskindly reach ati provide originals picturesbecause wasted 40k let guys wastenote seen reviews youtubebut say bit bad completely bad,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),-0.18333333333333326
21,Manpreet Singh,3.0 out of 5 stars,Great but always with some screen and body issues!,changed oneplus 8 4 times due something defects like headache giving screens line marks back body etc expensivephone boxes puffed torned displays dull noticed closely warm yellowish control oneplus people go nuts like wow display realizing given inferior quality displays samsungi hope really hope people strive perfection really understand get paying controlling excitements bit forward stronger feedbacks believe listened amazon india helped toomy 5th device came altogether different location excellent box phone built display feels broader even dimensions two parallel lines design defect back clean curvy like oneplus 8 8gb variant mine 6gb one screen display still warm didnt want colors punchy clearly shows display far better previous returned devices1st oneplus 8 8gb long permanent line mark back body looked closely2nd oneplus 8 8gb displays blue light filter issues im sure gave headache seconds eye strain well3rd oneplus 8 6gb 2 parallel lines edges back body device tilted little like dent kind design defect believe though one best display even 5th one im keeping smoother 90 hz4th oneplus 8 6gb 2 parallel lines thought normal okay display yellowish dull playing pubg graphics optimization made game look ugly extreme hd settings hdr sucks looking images articles etc looking good5th oneplus 8 6gb variant told 2 parallel lines punchy colors dull good display however still yellowish large part screen whitish around right left edges screen vivid mode noticed displays warm also noticed vivid mode nicer whiter previous devices one whether dull noti also know screen yellowish bit makes video viewing amazing experience make natural skin color etc less corrected flaws mentioned however im tierd somewhat satisfied want oneplus correct possible software update without compromising quality displayits said apple never compromises quality even delay production find imperfections dont like ios use apple though oneplus like thisnot happy kind support noticed paying got 8gb one really like getting better qalutiy made device first one issue mentioned wasnt shouldnt case leads disappointment variants given attentionperfection internal hardware changesoneplus 8 first last device short period time look brand cares 3 5,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.1411885245901639
22,Vivek Kr. Meena 🐺,5.0 out of 5 stars,Delivers what they promised.! ;),great phonegaming performance great device dont get heat even high settingsi played pubg mobile details provides exciting make feel real shadows treestones mud etc small hands dont buy gaming dont feel comfortable small handscamera good cant say awesomebattery life great charge fastui expected stock android preinstalled third party apps also installed uninstall except netflixthe back cover provide loose cheap buy new better oneover great phonecheers,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.29552447552447547
23,Rahul,5.0 out of 5 stars,Amazing Experience with Oneplus 8,first glance feel premium quality oneplus 8i mentioned good bad points quick understanding every buyer good good build qualityvivid displayexcellent performance softwaresolid battery lifedecent camera performancechic designconsistent performanceoxygen os blissclassleading displaybadno ip rating wireless charginglowlight video could betterbasic cameras setup,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.33055555555555555
24,Aparna Uniyal,1.0 out of 5 stars,Battery/Heating/Network issue,bought one plus 8 3 days back facing multiple issues like battery backup getting 34 hours screen time also facing issues mobile hotspot connecting laptop getting reconnecting however conneting another device hotspot network working also getting heat every time often use lite application like facebook whtsapp apps games tried contact one plus support call whtsapp chat response side,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.0
25,shaikh,1.0 out of 5 stars,Poor Camera Quality.....Too Expensive,camera quality worst oneplus 6t,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),-1.0
26,Abhishek Patnaik,2.0 out of 5 stars,Heating Issue and Low Quality camera,badly heating issue,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),-0.6999999999999998
27,Sahil bansal,5.0 out of 5 stars,Better phone but could have been the best,great phone amazon delivers within 10 hours ordering really happy therepros beast performancegreat battery lifebrilliant screenfluid 90hzand blazing fast oxygen os5gconscamera 2megapixel camera sake 3 camera backrest camera averagehopefully upadates fix given one plus history think willcurved screen cause accidental touches covers cant cover phone fully front due display hence prone break regular flat screen phone like 7thave little bit weight due larger batteryprincing highly agressive could provided wireless charging headphone jackin priceoverall good phone want future proof phone eyes closedbut budget 7t mostly get better camera almost fast snapdragon 855pluschoose wisely,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.25609375
28,SK,5.0 out of 5 stars,Do NOT buy this expecting a stellar camera,obviously might done extensive research watched many review videos coming make purchase decision one way happy purchase looking slim elegant powerful light weight device offering premium inhand feel day day important device getcamera going serve well many occasions lighting good people might told camera system mediocre entirely true software updates confidently say yes camera neither great bad delivers decent pictures lighting good absolute camera geek meet succeed expectations incase camera geek get 8pro dont think saving moneyconclusion feels expensive nice balance hand light joy use glacial green matte finish makes front device look expensive dark edgetoedge amoled panel performs like qc 865 easily get day full charge low risk decision cant go wrong buy damn thing,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.21896551724137928
29,Vikas Shah,5.0 out of 5 stars,best and most reliable phone at this price,writing review using phone 7 days believe real user reviews useful youtube tech reviews highly biased practical bought 6 gb variant available 42k dont go 8 gb variant spend 3k valuable money normal users 6 gb ram sufficient 2 gb ram doesnt make phone fast processor work 42k price best option available right would rate 4551 design amazing premium looking phone glass back feels awesome weight management dimensions also great curved display looks amazing2 display display bright visible direct sunlight lowest brightness level notice flickering natural mode noticed yellowish color software issue like changed advancedamoled wide gamut works perfectly curved display doesnt make difference 1 2 days comes fragile tag prepared take extra care 90hz really makes difference 60hz use 90hz display going back 60hz would feel like phone lagging3 performance snapdragon 865 performance buttery smooth4 software first oneplus phone coming motorola phone first priority stock android experience oxygenos best android ui right stock android experience required customization oneplus also provide timely long term software updates phones good thing5 battery using phone 90hz time animations would easily get whole day battery life even moderate heavy user initial 12 charging cycles getting around 6 hours sot improved 7730 hr sot charging speed also great would charge 10 95 around 50 mins6 call quality day day usage havent find issues yet speakers also loud clear7 camera comes one area didnt like primary camera ultrawide angle camera good improvement 7t 2 mp macro camera really pathetic useless also facing issue front camera low light photos blurry video calls zooms face produces blurry face hope oneplus gives software updates solves camera problems found solution downloading gcam giving better results still 42k phone camera goodconclusion phone perfect issues camera department believe phone great go spend 3540k always go brand value like oneplus samsung applei hope find review useful update find issue future,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),0.30140786749482407
